Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 12-11-2015,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
1/1/2013,00 - 01,266.07,265.98,265.98,265.98,265.98,265.98,120.22,120.22,282.61,282.61,282.61,265.98,265.98,265.98,266.67,266.67,,209.25
1/1/2013,01 - 02,261.1,235.73,235.73,235.73,235.73,235.73,94.77,94.77,282.52,282.52,282.52,264.01,264.01,264.01,262.3,262.3,,202.4
1/1/2013,02 - 03,247.82,209.43,209.43,209.43,209.43,209.43,72.84,72.84,279.26,279.26,279.26,263.67,263.67,263.67,209.43,209.43,,205.06
1/1/2013,03 - 04,238.9,186.89,186.89,186.89,186.89,186.89,0.86,0.86,270.18,270.18,270.18,263.15,263.15,263.15,186.89,186.89,,204.37
1/1/2013,04 - 05,231.02,191.69,191.69,191.69,191.69,191.69,17.22,17.22,261.7,261.7,261.7,262.47,262.47,262.47,191.69,191.69,,199.31
1/1/2013,05 - 06,238.56,218.6,218.6,218.6,218.6,218.6,195.46,195.46,256.47,256.47,256.47,262.04,262.04,262.04,218.6,218.6,,201.71
1/1/2013,06 - 07,246.7,239.33,239.33,239.33,239.33,239.33,239.33,239.33,259.04,259.04,259.04,262.55,262.55,262.55,263.15,263.15,,192.55
1/1/2013,07 - 08,245.33,240.02,240.02,240.02,240.02,240.02,240.02,240.02,254.84,254.84,254.84,263.33,263.33,263.33,264.95,264.95,,244.64
1/1/2013,08 - 09,243.7,238.22,238.22,238.22,238.22,238.22,238.22,238.22,259.64,259.64,259.64,262.47,262.47,262.47,264.61,264.61,,242.85
1/1/2013,09 - 10,242.5,234.36,234.36,234.36,234.36,234.36,234.36,234.36,257.07,257.07,257.07,262.38,262.38,262.38,269.92,269.92,,239.93
1/1/2013,10 - 11,262.64,241.82,241.82,241.82,241.82,241.82,241.82,241.82,275.24,275.24,275.24,264.78,264.78,264.78,272.75,272.75,,240.53
1/1/2013,11 - 12,270.35,259.38,259.38,259.38,259.38,259.38,259.38,259.38,276.86,276.86,276.86,271.98,271.98,271.98,276.26,276.26,,240.45
1/1/2013,12 - 13,275.58,259.38,259.38,259.38,259.38,259.38,259.38,259.38,281.58,281.58,281.58,284.83,284.83,284.83,276.69,276.69,,240.96
1/1/2013,13 - 14,278.06,265.81,265.81,265.81,265.81,265.81,265.81,265.81,282.26,282.26,282.26,285.6,285.6,285.6,277.38,277.38,,240.96
1/1/2013,14 - 15,279.61,277.29,277.29,277.29,277.29,277.29,277.29,277.29,280.55,280.55,280.55,288.86,288.86,288.86,283.03,283.03,,241.82
1/1/2013,15 - 16,288.35,288.26,288.26,288.26,288.26,288.26,288.26,288.26,288.26,288.26,288.26,291.35,291.35,291.35,292.97,292.97,,242.33
1/1/2013,16 - 17,299.06,299.57,299.57,299.57,299.57,299.57,295.03,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,,242.59
1/1/2013,17 - 18,310.37,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,,242.5
1/1/2013,18 - 19,314.05,313.54,313.54,313.54,313.54,313.54,318.08,318.08,313.54,313.54,313.54,313.54,313.54,313.54,313.54,313.54,,243.53
1/1/2013,19 - 20,311.65,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,,240.27
1/1/2013,20 - 21,304.11,303.94,303.94,303.94,303.94,303.94,311.05,303.94,303.94,303.94,303.94,303.94,303.94,303.94,303.94,303.94,,239.85
1/1/2013,21 - 22,294.86,294.86,294.86,294.86,294.86,294.86,287.83,294.86,294.86,294.86,294.86,294.86,294.86,294.86,294.86,294.86,,197.34
1/1/2013,22 - 23,297,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,296.92,,203.94
1/1/2013,23 - 00,278.92,278.06,278.06,278.06,278.06,278.06,217.14,217.14,282.78,282.78,282.78,278.06,278.06,278.06,278.06,278.06,,202.91
2/1/2013,00 - 01,284.06,281.41,281.41,281.41,281.41,281.41,202.31,202.31,291.86,291.86,291.86,281.41,281.41,281.41,281.41,281.41,,257.16
2/1/2013,01 - 02,279.86,277.21,277.21,277.21,277.21,277.21,127.85,127.85,288.52,288.52,288.52,277.21,277.21,277.21,277.21,277.21,,222.97
2/1/2013,02 - 03,272.75,272.75,272.75,272.75,272.75,272.75,140.96,140.96,279.18,279.18,279.18,272.75,272.75,272.75,272.75,272.75,,257.07
2/1/2013,03 - 04,269.67,275.66,275.66,275.66,275.66,275.66,101.2,101.2,275.66,275.66,275.66,275.66,275.66,275.66,275.66,275.66,,223.65
2/1/2013,04 - 05,279.01,282.52,282.52,282.52,282.52,282.52,102.74,102.74,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,,257.33
2/1/2013,05 - 06,294.43,300.09,300.09,300.09,300.09,300.09,254.24,254.24,300.09,288.09,300.09,300.09,300.09,300.09,300.09,300.09,,377.46
2/1/2013,06 - 07,310.88,311.57,311.57,311.57,311.57,314.74,265.9,311.57,311.57,311.57,311.57,311.57,311.57,311.57,314.74,314.74,,199.31
2/1/2013,07 - 08,328.96,332.91,332.91,332.91,332.91,364.18,380.29,334.62,332.91,318.94,332.91,332.91,332.91,332.91,364.18,364.18,,254.67
2/1/2013,08 - 09,334.96,337.79,337.79,337.79,337.79,337.79,337.79,337.79,337.79,323.82,337.79,337.79,337.79,337.79,338.65,338.65,,254.76
2/1/2013,09 - 10,328.45,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,324.68,330.25,330.25,330.25,330.25,359.73,359.73,,250.99
2/1/2013,10 - 11,329.22,331.45,331.45,331.45,331.45,331.45,331.45,331.45,331.45,324.51,331.45,331.45,331.45,331.45,377.04,377.04,,250.99
2/1/2013,11 - 12,327.76,329.82,329.82,329.82,329.82,329.82,329.82,329.82,329.82,324.25,329.82,329.82,329.82,329.82,354.33,354.33,,250.73
2/1/2013,12 - 13,325.28,326.22,326.22,326.22,326.22,326.22,326.22,326.22,326.22,324.17,326.22,326.22,326.22,326.22,377.21,377.21,,251.93
2/1/2013,13 - 14,324.68,325.19,325.19,325.19,325.19,325.19,325.19,325.19,325.19,324.08,325.19,325.19,325.19,325.19,428.54,428.54,,347.64
2/1/2013,14 - 15,324.59,324.85,324.85,324.85,324.85,325.88,324.85,324.85,324.85,324.08,324.85,324.85,324.85,324.85,428.96,428.96,,351.41
2/1/2013,15 - 16,332.31,332.91,332.91,332.91,332.91,345.59,332.91,332.91,332.91,324.42,332.91,332.91,332.91,332.91,429.22,429.22,,377.04
2/1/2013,16 - 17,341.3,342.07,342.07,342.07,342.07,342.07,342.07,342.07,342.07,325.02,342.07,342.07,342.07,342.07,377.81,377.81,,377.12
2/1/2013,17 - 18,341.99,347.22,347.22,347.22,347.22,347.22,347.22,347.22,347.22,324.85,347.22,347.22,347.22,347.22,377.55,377.55,,358.96
2/1/2013,18 - 19,336.93,339.5,339.5,339.5,339.5,339.5,339.5,339.5,339.5,324.42,339.5,339.5,339.5,339.5,377.21,377.21,,345.16
2/1/2013,19 - 20,329.82,332.05,332.05,332.05,332.05,332.05,332.05,332.05,332.05,323.91,332.05,332.05,332.05,332.05,359.98,359.98,,337.88
2/1/2013,20 - 21,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,320.99,346.44,346.44,,337.45
2/1/2013,21 - 22,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,316.54,,291.09
2/1/2013,22 - 23,311.65,311.65,311.65,311.65,311.65,311.65,315.08,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,311.65,,317.05
2/1/2013,23 - 00,296.4,296.57,296.57,296.57,296.57,296.57,293.15,296.57,296.57,296.57,296.57,296.57,296.57,296.57,296.57,296.57,,268.38
3/1/2013,00 - 01,283.2,281.4,281.4,281.4,281.4,281.4,214.43,214.43,291.66,291.66,291.66,281.4,281.4,281.4,281.4,281.4,,316.9
3/1/2013,01 - 02,275.58,265.49,265.49,265.49,265.49,265.49,171.66,171.66,289.35,289.35,289.35,267.97,267.97,267.97,265.49,265.49,,316.9
3/1/2013,02 - 03,269.08,264.04,264.04,264.04,264.04,264.04,124.36,124.36,284.14,284.14,284.14,264.04,264.04,264.04,264.04,264.04,,316.9
3/1/2013,03 - 04,270.88,264.38,264.38,264.38,264.38,264.38,119.66,119.66,285.59,285.59,285.59,264.38,264.38,264.38,264.38,264.38,,316.81
3/1/2013,04 - 05,274.13,278.66,278.66,278.66,278.66,278.66,119.06,119.06,279.95,279.95,279.95,278.66,278.66,278.66,278.66,278.66,,457.08
3/1/2013,05 - 06,287.99,293.12,293.12,293.12,293.12,293.12,153.87,153.87,293.12,293.12,293.12,293.12,293.12,293.12,296.03,296.03,,423.21
3/1/2013,06 - 07,298.76,301.41,301.41,301.41,301.41,304.58,240.52,301.41,301.41,294.06,301.41,301.41,301.41,301.41,377.11,377.11,,415.51
3/1/2013,07 - 08,306.38,306.46,306.46,306.46,306.46,308.26,306.46,306.46,306.46,306.46,306.46,306.46,306.46,306.46,393.96,393.96,,416.03
3/1/2013,08 - 09,311.17,311.25,311.25,311.25,311.25,311.25,311.25,311.25,311.25,311.25,311.25,311.25,311.25,311.25,394.22,394.22,,413.38
3/1/2013,09 - 10,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,312.36,394.13,394.13,,413.97
3/1/2013,10 - 11,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,313.99,394.05,394.05,,413.89
3/1/2013,11 - 12,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,313.05,393.96,393.96,,412.86
3/1/2013,12 - 13,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,312.28,394.05,394.05,,413.63
3/1/2013,13 - 14,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,311.34,394.05,394.05,,413.21
3/1/2013,14 - 15,311.51,311.42,311.42,311.42,311.42,313.65,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,394.13,394.13,,415.69
3/1/2013,15 - 16,312.88,313.65,313.65,313.65,313.65,314.5,312.11,313.65,313.65,312.11,313.65,313.65,313.65,313.65,394.22,394.22,,421.16
3/1/2013,16 - 17,315.96,318.35,318.35,318.35,318.35,318.35,313.22,318.35,318.35,313.22,318.35,318.35,318.35,318.35,394.13,394.13,,422.53
3/1/2013,17 - 18,315.96,317.41,317.41,317.41,317.41,317.41,314.24,317.41,317.41,314.24,317.41,317.41,317.41,317.41,393.96,393.96,,421.07
3/1/2013,18 - 19,314.84,315.36,315.36,315.36,315.36,315.36,314.33,315.36,315.36,314.33,315.36,315.36,315.36,315.36,393.79,393.79,,412.86
3/1/2013,19 - 20,311.59,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,393.62,393.62,,409.36
3/1/2013,20 - 21,307.15,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,306.97,377.2,377.2,,416.37
3/1/2013,21 - 22,303.21,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,303.04,,364.71
3/1/2013,22 - 23,297.39,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,297.22,,333.32
3/1/2013,23 - 00,274.47,258.14,258.14,258.14,258.14,258.14,240.43,240.43,288.5,288.5,288.5,258.14,258.14,258.14,268.83,268.83,,316.9
4/1/2013,00 - 01,270.8,257.82,257.82,257.82,257.82,257.82,115.63,115.63,289.08,289.08,289.08,257.82,257.82,257.82,257.82,257.82,,315.98
4/1/2013,01 - 02,263.54,238.86,238.86,238.86,238.86,238.86,101.71,101.71,285.66,285.66,285.66,244.93,244.93,244.93,239.38,239.38,,280.8
4/1/2013,02 - 03,257.99,228.27,228.27,228.27,228.27,228.27,81.13,81.13,282.5,282.5,282.5,244.33,244.33,244.33,228.27,228.27,,281.05
4/1/2013,03 - 04,259.27,232.63,232.63,232.63,232.63,232.63,94.28,94.28,282.16,282.16,282.16,244.41,244.41,244.41,239.21,239.21,,297.45
4/1/2013,04 - 05,263.8,246.72,246.72,246.72,246.72,246.72,91.81,91.81,282.59,282.59,282.59,246.72,246.72,246.72,275.33,275.33,,288.23
4/1/2013,05 - 06,275.07,277.72,277.72,277.72,277.72,277.72,153.21,153.21,283.02,283.02,283.02,277.72,277.72,277.72,287.29,287.29,,335.28
4/1/2013,06 - 07,293.18,294.89,294.89,294.89,294.89,309.23,290.96,294.89,294.89,294.89,294.89,294.89,294.89,294.89,351.76,351.76,,372.6
4/1/2013,07 - 08,307.27,307.78,307.78,307.78,307.78,333.49,315.38,311.45,307.78,307.78,307.78,307.78,307.78,307.78,410.01,410.01,,375.93
4/1/2013,08 - 09,313.59,315.55,315.55,315.55,315.55,315.55,315.55,315.55,315.55,315.55,315.55,315.55,315.55,315.55,410.18,410.18,,375.93
4/1/2013,09 - 10,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,313.25,410.26,410.26,,375.93
4/1/2013,10 - 11,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,314.27,410.26,410.26,,375.93
4/1/2013,11 - 12,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,312.91,410.26,410.26,,375.93
4/1/2013,12 - 13,311.2,311.37,311.37,311.37,311.37,311.37,311.37,311.37,311.37,311.37,311.37,311.37,311.37,311.37,410.26,410.26,,375.93
4/1/2013,13 - 14,310.09,310.17,310.17,310.17,310.17,310.17,310.17,310.17,310.17,310.17,310.17,310.17,310.17,310.17,410.26,410.26,,375.93
4/1/2013,14 - 15,305.99,306.07,306.07,306.07,306.07,306.07,306.07,306.07,306.07,306.07,306.07,306.07,306.07,306.07,410.26,410.26,,375.93
4/1/2013,15 - 16,308.46,308.12,308.12,308.12,308.12,314.61,308.12,308.12,308.12,308.12,308.12,308.12,308.12,308.12,410.26,410.26,,375.93
4/1/2013,16 - 17,314.27,314.19,314.19,314.19,314.19,315.47,314.19,314.19,314.19,314.19,314.19,314.19,314.19,314.19,410.18,410.18,,376.1
4/1/2013,17 - 18,318.46,319.65,319.65,319.65,319.65,319.65,319.65,319.65,319.65,316.83,319.65,319.65,319.65,319.65,410.01,410.01,,376.02
4/1/2013,18 - 19,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,317.26,392.41,392.41,,376.02
4/1/2013,19 - 20,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,311.45,376.44,376.44,,375.85
4/1/2013,20 - 21,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,307.7,375.85,375.85,,375.85
4/1/2013,21 - 22,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,302.57,,316.49
4/1/2013,22 - 23,300.35,300.27,300.27,300.27,300.27,300.27,307.7,300.27,300.27,300.27,300.27,300.27,300.27,300.27,300.27,300.27,,316.24
4/1/2013,23 - 00,281.39,280.8,280.8,280.8,280.8,280.8,273.37,280.8,282.76,282.76,282.76,280.8,280.8,280.8,280.8,280.8,,315.98
5/1/2013,00 - 01,287.38,289.25,289.25,289.25,289.25,289.25,263.24,289.25,289.25,289.25,289.25,289.25,289.25,289.25,289.25,289.25,,264.52
5/1/2013,01 - 02,279.02,280.47,280.47,280.47,280.47,280.47,276.12,276.12,280.47,280.47,280.47,280.47,280.47,280.47,280.47,280.47,,264.52
5/1/2013,02 - 03,273.73,274.92,274.92,274.92,274.92,274.92,211.54,211.54,276.97,276.97,276.97,274.92,274.92,274.92,274.92,274.92,,264.52
5/1/2013,03 - 04,274.41,275.69,275.69,275.69,275.69,275.69,264,264,276.46,276.46,276.46,275.69,275.69,275.69,275.69,275.69,,264.6
5/1/2013,04 - 05,279.19,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,279.53,,278.93
5/1/2013,05 - 06,288.06,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,287.89,,307.59
5/1/2013,06 - 07,290.28,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,290.19,,316.97
5/1/2013,07 - 08,289.85,290.11,290.11,290.11,290.11,290.11,289.42,290.11,290.11,290.11,290.11,290.11,290.11,290.11,290.11,290.11,,340.6
5/1/2013,08 - 09,293.86,294.03,294.03,294.03,294.03,294.03,277.99,294.03,294.03,294.03,294.03,294.03,294.03,294.03,294.03,294.03,,341.54
5/1/2013,09 - 10,308.1,307.42,307.42,307.42,307.42,307.42,324.14,308.1,307.42,307.42,307.42,307.42,307.42,307.42,338.21,338.21,,375.32
5/1/2013,10 - 11,312.97,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,313.14,341.97,341.97,,375.32
5/1/2013,11 - 12,313.39,313.48,313.48,313.48,313.48,313.48,313.48,313.48,313.48,313.48,313.48,313.48,313.48,313.48,346.74,346.74,,375.32
5/1/2013,12 - 13,311.52,311.6,311.6,311.6,311.6,311.6,311.6,311.6,311.6,311.6,311.6,311.6,311.6,311.6,356.47,356.47,,375.41
5/1/2013,13 - 14,308.1,308.19,308.19,308.19,308.19,308.19,308.19,308.19,308.19,308.19,308.19,308.19,308.19,308.19,343.84,343.84,,375.41
5/1/2013,14 - 15,308.27,308.36,308.36,308.36,308.36,308.36,308.36,308.36,308.36,308.36,308.36,308.36,308.36,308.36,341.8,341.8,,375.41
5/1/2013,15 - 16,313.73,313.82,313.82,313.82,313.82,313.82,313.82,313.82,313.82,313.82,313.82,313.82,313.82,313.82,375.75,375.75,,375.41
5/1/2013,16 - 17,321.67,325.16,325.16,325.16,325.16,325.16,325.16,325.16,325.16,314.76,314.76,325.16,325.16,325.16,375.92,375.92,,375.49
5/1/2013,17 - 18,327.3,330.03,330.03,330.03,397.41,330.03,397.41,397.41,330.03,315.01,315.01,330.03,330.03,330.03,375.75,375.75,,375.49
5/1/2013,18 - 19,324.05,327.64,327.64,327.64,346.32,327.64,346.32,346.32,327.64,314.93,314.93,327.64,327.64,327.64,375.49,375.49,,375.32
5/1/2013,19 - 20,315.1,315.27,315.27,315.27,315.27,315.27,315.27,315.27,315.27,315.01,315.01,315.27,315.27,315.27,341.88,341.88,,356.98
5/1/2013,20 - 21,309.13,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,309.21,,353.4
5/1/2013,21 - 22,306.14,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,306.06,,340.18
5/1/2013,22 - 23,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,,296.76
5/1/2013,23 - 00,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,,264.52
6/1/2013,00 - 01,297.9,297.99,297.99,297.99,297.99,297.99,280.05,297.99,297.99,297.99,297.99,297.99,297.99,297.99,297.99,297.99,,255.1
6/1/2013,01 - 02,282.35,282.52,282.52,282.52,282.52,282.52,273.55,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,282.52,,264.84
6/1/2013,02 - 03,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,275.52,,264.84
6/1/2013,03 - 04,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,276.89,,264.84
6/1/2013,04 - 05,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,277.23,,251.26
6/1/2013,05 - 06,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,,252.96
6/1/2013,06 - 07,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,284.23,,290.81
6/1/2013,07 - 08,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,281.67,,291.15
6/1/2013,08 - 09,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,287.48,290.81,290.81,,294.74
6/1/2013,09 - 10,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,292.6,305.25,305.25,,332.33
6/1/2013,10 - 11,299.1,299.1,299.1,299.1,299.1,299.1,298.67,299.1,299.1,299.1,299.1,299.1,299.1,299.1,299.1,299.1,,333.18
6/1/2013,11 - 12,307.04,306.96,306.96,306.96,306.96,306.96,307.38,306.96,306.96,306.96,306.96,306.96,306.96,306.96,313.19,313.19,,329.6
6/1/2013,12 - 13,305.76,305.76,305.76,305.76,305.76,305.76,307.13,305.76,305.76,305.76,305.76,305.76,305.76,305.76,321.14,321.14,,334.72
6/1/2013,13 - 14,299.18,299.27,299.27,299.27,299.27,299.27,297.82,299.27,299.27,299.27,299.27,299.27,299.27,299.27,321.65,321.65,,336.35
6/1/2013,14 - 15,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,297.73,341.39,341.39,,375.9
6/1/2013,15 - 16,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,300.55,376.5,376.5,,340.19
6/1/2013,16 - 17,306.7,307.13,307.13,307.13,307.13,307.13,274.24,307.13,307.13,307.13,307.13,307.13,307.13,307.13,376.67,376.67,,376.07
6/1/2013,17 - 18,316.87,319.17,319.17,319.17,319.17,319.17,319.17,319.17,319.17,313.96,313.96,319.17,319.17,319.17,376.67,376.67,,376.07
6/1/2013,18 - 19,321.65,322.51,322.51,322.51,342.16,322.51,342.16,342.16,322.51,315.67,315.67,322.51,322.51,322.51,376.58,376.58,,337.63
6/1/2013,19 - 20,319.43,319.69,319.69,319.69,319.69,319.69,326.78,326.78,319.69,316.1,316.1,319.69,319.69,319.69,376.5,376.5,,333.87
6/1/2013,20 - 21,316.01,315.76,315.76,315.76,315.76,315.76,315.76,315.76,315.76,315.76,315.76,315.76,315.76,315.76,376.41,376.41,,324.3
6/1/2013,21 - 22,308.41,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,308.07,,376.16
6/1/2013,22 - 23,307.56,307.3,307.3,307.3,307.3,307.3,310.29,307.3,307.3,307.3,307.3,307.3,307.3,307.3,307.3,307.3,,254.25
6/1/2013,23 - 00,298.41,298.24,298.24,298.24,298.24,298.24,295.25,298.24,298.24,298.24,298.24,298.24,298.24,298.24,298.24,298.24,,248.95
7/1/2013,00 - 01,298.76,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,298.67,,282.01
7/1/2013,01 - 02,287.99,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,287.91,,282.01
7/1/2013,02 - 03,283.04,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,282.95,,282.01
7/1/2013,03 - 04,283.89,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,,282.01
7/1/2013,04 - 05,291.32,292.01,292.01,292.01,292.01,292.01,257.75,292.01,292.01,292.01,292.01,292.01,292.01,292.01,292.01,292.01,,281.93
7/1/2013,05 - 06,304.82,306.44,306.44,306.44,306.44,306.53,255.44,306.44,306.44,306.44,306.44,306.44,306.44,306.44,306.53,306.53,,365.05
7/1/2013,06 - 07,329,331.05,331.05,331.05,331.05,346.85,397.69,346.68,330.88,323.36,324.3,331.05,331.05,331.05,346.85,346.85,,417.68
7/1/2013,07 - 08,347.37,348.05,348.05,348.05,386.67,410.42,529.59,529.59,348.05,321.74,327.89,348.05,348.05,348.05,410.42,410.42,,422.29
7/1/2013,08 - 09,362.92,362.66,362.66,362.66,395.89,376.16,544.54,544.54,362.66,322.85,330.11,362.66,362.66,362.66,376.16,376.16,,422.38
7/1/2013,09 - 10,359.5,361.8,361.8,361.8,396.58,364.28,554.8,554.8,361.8,322.68,330.79,361.8,361.8,361.8,376.07,376.07,,422.38
7/1/2013,10 - 11,358.56,359.5,359.5,359.5,382.31,370.86,548.39,548.39,351.64,322.33,330.62,359.5,359.5,359.5,376.07,376.07,,422.29
7/1/2013,11 - 12,353.43,357.53,357.53,357.53,414.43,357.53,546.76,546.76,342.58,321.91,331.82,357.53,357.53,357.53,371.71,371.71,,422.12
7/1/2013,12 - 13,344.29,345.15,345.15,345.15,416.05,345.15,542.66,542.66,344.97,321.57,331.65,345.15,345.15,345.15,376.07,376.07,,422.72
7/1/2013,13 - 14,341.39,342.92,342.92,342.92,418.28,342.92,535.23,535.23,341.56,321.4,331.48,342.92,342.92,342.92,376.07,376.07,,422.72
7/1/2013,14 - 15,343.18,349.16,349.16,349.16,408.62,349.16,535.06,535.06,341.3,321.4,331.9,349.16,349.16,349.16,376.07,376.07,,422.46
7/1/2013,15 - 16,355.4,358.9,358.9,358.9,406.31,376.07,520.79,520.79,343.52,320.54,332.25,358.9,358.9,358.9,376.07,376.07,,425.88
7/1/2013,16 - 17,361.98,366.42,366.42,366.42,480.3,366.59,519.77,519.77,357.7,321.14,332.84,366.42,366.42,366.42,375.99,375.99,,425.88
7/1/2013,17 - 18,358.22,359.24,359.24,359.24,547.11,361.38,610.58,610.58,355.57,321.14,332.5,359.24,359.24,359.24,364.88,364.88,,425.28
7/1/2013,18 - 19,341.47,349.25,349.25,349.25,418.96,352.66,418.96,418.96,341.13,321.05,331.99,349.25,349.25,349.25,352.66,352.66,,422.46
7/1/2013,19 - 20,332.33,334.38,334.38,334.38,334.38,334.38,334.38,334.38,332.84,321.57,331.82,334.38,334.38,334.38,334.38,334.38,,418.53
7/1/2013,20 - 21,323.96,325.07,325.07,325.07,325.07,325.07,325.07,325.07,325.07,322.25,325.07,325.07,325.07,325.07,325.07,325.07,,416.31
7/1/2013,21 - 22,320.11,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,319.94,,282.27
7/1/2013,22 - 23,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,311.74,,282.35
7/1/2013,23 - 00,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,303.71,294.65,294.65,,282.1
8/1/2013,00 - 01,302,302,302,302,302,302,302,302,302,302,302,302,302,302,280.19,280.19,,264.34
